name,pref,city,district,latitude,longitude,urban_point,in_mesh_point,is_island
スワン44ねむろ,北海道,根室市,春国岱,43.2616741,145.438370399999,278.79759047863524,6445731513,False
さるふつ公園,北海道,猿払村,浜鬼志別,45.329219,142.177348,320.38618951564354,,False
しらたき,北海道,遠軽町,奥白滝,43.870061,143.076278,356.6255988888937,,False
ぐるっとパノラマ美幌峠,北海道,美幌町,字古梅,43.647837,144.24901,360.07679026735786,,False
マリーンアイランド岡島,北海道,枝幸町,岡島,44.8783757,142.631812999999,386.8763873964407,6742255023,False
おだいとう,北海道,別海町,尾岱沼潮見町,43.533413,145.236875599999,415.5288018378,6545214822,False
てっくいランド大成,北海道,せたな町,大成区花歌,42.212366,139.876681,427.3121580640508,,False
びふか,北海道,美深町,字西里,44.5588576,142.3200331,433.96894803175275,,False
愛ランド湧別,北海道,湧別町,登栄床,44.1308204,143.719206399999,477.5179565352949,,False
サロマ湖,北海道,佐呂間町,字若里,44.0999179,143.8241425,492.4874383202634,,False
森と湖の里ほろかない,北海道,幌加内町,字政和第一,44.114633,142.139546,564.2496782627157,6642113131,False
オスコイ！かもえない,北海道,神恵内村,大字赤石村,43.1653589,140.3855694,642.5340321182427,,False
さらべつ,北海道,更別村,字弘和,42.6333115,143.2718483,643.1293277656334,,False
足寄湖,北海道,足寄町,中矢,43.2522652,143.4806105,660.6692798241818,6443730814,False
ピンネシリ,北海道,中頓別町,字敏音知,44.8774622,142.213402099999,692.9487927791926,,False
かわうち湖,青森県,むつ市,川内町国有林野地内,41.2703981,140.888218899999,708.0907819967704,,False
奄美大島住用,鹿児島県,奄美市,大字役勝字下役勝,28.25964435,129.4088365,753.2421293583573,4229331221,True
☆ロマン街道しょさんべつ,北海道,初山別村,字豊岬,44.5635037,141.7768178,782.3892386176462,,False
阿寒丹頂の里,北海道,釧路市,阿寒町上阿寒,43.1440197,144.1469574,793.9051682552779,6444517124,False
にしおこっぺ花夢,北海道,西興部村,字上興部,44.3359883,142.8680679,844.6524696961471,6642460914,False
しりうち,北海道,知内町,字上雷,41.6012589,140.3358339,860.0722635831929,6240322622,False
おびら鰊番屋,北海道,小平町,字港町,44.137022,141.654956,887.7722278262804,6641156214,False
白金ビルケ,北海道,上富良野町,清富,43.503055833000076,142.5972233330001,891.3795271154474,6542240724,False
みついし,北海道,新ひだか町,字鳧舞,42.2208744,142.634226099999,901.6589200003042,,False
たいらだて,青森県,外ヶ浜町,字平舘門の沢,41.1748371,140.6411974,1013.4682790188932,6140650134,False
なかがわ,北海道,中川町,字誉,44.8016912999999,142.067347899999,1014.1333937231028,6742106512,False
あいおい,北海道,津別町,字布川,43.545622,143.980525,1034.7045811904027,6543275814,False
はちもり,秋田県,八峰町,八森,40.421583,139.948678,1048.8864471389002,,False
らんこし・ふるさとの丘,北海道,蘭越町,目名町,42.7620988,140.478985299999,1068.276966283686,6440131814,False
しらぬか恋問,北海道,白糠町,西庶路東三条南４丁目,42.9927351,144.1981267,1077.2931678257241,,False
上ノ国もんじゅ,北海道,上ノ国町,字原歌,41.8084965,140.0949663,1156.9578954720978,6240507721,False
わきのさわ,青森県,むつ市,脇野沢字滝山,41.167961,140.80477,1220.1574809748013,6140660412,False
みんまや,青森県,外ヶ浜町,字三厩龍浜,41.2538342,140.346791199999,1263.0705818297706,,False
しほろ温泉,北海道,士幌町,字下居辺,43.138881,143.367911,1274.7950662794763,6443526932,False
こどまり,青森県,中泊町,大字小泊字浜野,41.1449049,140.320595799999,1323.5496376774886,,False
くろまつない,北海道,黒松内町,字熱郛原野,42.6727094,140.3800337,1339.611365185482,6440030032,False
十三湖高原,青森県,中泊町,大字今泉字唐崎,41.045391,140.385462,1340.9334213118684,,False
三田貝分校,岩手県,岩泉町,門,39.871122,141.589311,1354.9737588304163,5941644731,False
ふかうら,青森県,深浦町,大字風合瀬,40.7442227,140.0004692,1369.233345385549,6140009013,False
シェルプラザ・港,北海道,寿都町,字磯谷町能津登,42.8801825,140.370026999999,1398.9009654986933,6440225941,False
たのはた,岩手県,田野畑村,室場,39.909617,141.902577,1476.4231789124105,5941679211,False
いまべつ,青森県,今別町,大字大川平,41.145511,140.514335,1483.9578362881878,,False
しんごう,青森県,新郷村,大字戸来,40.4317584,141.0744455,1494.1726637741294,,False
絵本の里けんぶち,北海道,剣淵町,東町,44.0938311,142.390979799999,1497.5278939044324,,False
よってけ！島牧,北海道,島牧村,字元町,42.6867269,140.0134173,1528.4765092337661,6440002113,False
フォーレスト276大滝,北海道,伊達市,三階滝町,42.6980639,141.1303673,1605.8253077895572,,False
とうや湖,北海道,洞爺湖町,字洞爺町,42.6645113999999,140.8218199,1632.0056551132902,,False
サンフラワー北竜,北海道,北竜町,字板谷,43.7510483,141.875302,1658.8972749245172,6541570011,False
